file	sha256
environment/cv/sessionInfo_analysis_complete.txt	4457a63a205e5308753b984532c3c004ab9b475afee56bb42ba66a4115e4a6e7
environment/dependency_availability.tsv	dca1214bef9f1da2d83a15919022978ba264d80ce8a86ebffae5d875da32ff7f
environment/revision/A1_D1_RNA_severity_adjusted/sessionInfo_A1.txt	0cba8027b10447374d7cd44df701e724314cb9ec31ddc389af20d9551ef6df30
environment/revision/A2_RNA_LOCO_centre_stability/sessionInfo_A2.txt	0cba8027b10447374d7cd44df701e724314cb9ec31ddc389af20d9551ef6df30
environment/revision/A3_Protein_subset_selection_audit/sessionInfo_A3.txt	d891eaf3644fc4753f13d95a14eea64bcdf07bc97d1a5f398c0d2a45f22b9b43
environment/revision/D5_EMT_finite_permutation/sessionInfo_D5_EMT_finite_permutation.txt	216515cce0e0f5df0e0257b28d25686bf6126065ca148e9fd32c52a350be37e1
environment/revision/IFN_centre_sensitivity/sessionInfo_IFN_centre_sensitivity.txt	3629e1200c4327a5c8e4c05f2c6819d9efc8557cb0b178666a3421fa37a2d8cb
environment/revision/protein_selection_audit/sessionInfo_protein_selection_audit.txt	85d9cd84042d218c573652d134fed66e52e4e76ac97579cfa72d60cf28219ae6
outputs/SIC_reanalysis_2026-07-11/code/00_config.R	61f1674d2d7a0f9fc76fedbaa0f3b7b9153df3b530fa3b63aaf4f6c7206e1dd5
outputs/SIC_reanalysis_2026-07-11/code/00b_build_official_gene_map.R	e71d42a29047ed705587df870ddf3d5f79a4dba567522102c42555231f416240
outputs/SIC_reanalysis_2026-07-11/code/01_run_RNA_TMM_cox_fgsea.R	5124e93f865411e7a1e7544f95ee7ad3db51466cc554a4ad2ceeecab0ed6a505
outputs/SIC_reanalysis_2026-07-11/code/01b_finalize_RNA_GSEA.R	480fd22b20c2cc2636498a16797ecac627d9cb2d9a2029d27bad65fdba8deb12
outputs/SIC_reanalysis_2026-07-11/code/02_run_Protein_QC_cox_fgsea.R	705fff777ca4a66f73a407399fb0fbf93bceb3027493bc3e3133a68bd139a7aa
outputs/SIC_reanalysis_2026-07-11/code/02b_finalize_Protein_GSEA.R	ff12feab98b830754ab56bd4db61390646e8a84a3ea1d03fa3cc3474fb3bed8f
outputs/SIC_reanalysis_2026-07-11/code/03_run_patient_scores_crossomics.R	1819529dac2ff6a06a9880a96c70e89455ef6e206b4e0fef2427653849cab05d
outputs/SIC_reanalysis_2026-07-11/code/04_make_figures_tables.R	b4dfab54ea3d17052c85da801006f883d48c99c9bc96f9ac1eb8bce1f53a0fa9
outputs/SIC_reanalysis_2026-07-11/code/05_compare_historical_and_summarize.R	b7856e260f9d52bfdd01466bb3a0533ca50369147b6d144fe5e227f89c3f70f1
outputs/SIC_reanalysis_2026-07-11/code/06_build_RNA_normalization_robustness.R	ded0b18b3ff673e861a959830a3fd29244162033bb6859ff4c5f2208ddb89e58
outputs/SIC_reanalysis_2026-07-11/code/07_freeze_manifest.R	adba78a4d7ac5f276a944af75de3cf0d075240946c45c1c0c8c4ab40da0bd8fb
outputs/SIC_reanalysis_2026-07-11/code/08_validate_final_outputs.R	5d674b00ff59b58db5bc36ca5c68b57e763a2cab7901a1f47a68be2c1d35bd3a
outputs/SIC_reanalysis_2026-07-11/code/09_build_clinical_tables.R	f8c4a6c16d92e9c4b72a067236e6183cf40053d40a5ff6e8dc1b75a68aaa9a7f
outputs/SIC_reanalysis_2026-07-11/code/10_run_availability_IPW_sensitivity.R	132c4370b965177b34b375370e407167178abefd28e9ea633f052f37fffb8887
outputs/SIC_reanalysis_2026-07-11/code/10a_availability_ipw_helpers.R	ee786e2f0ee1c479ebfed7366e8308858f2437b899dbfdd28a31a7854b04c6a9
outputs/SIC_reanalysis_2026-07-11/code/run_all.R	3400908c0e3cda31377b95ff10527660f5b83e988a3372d2d9c83ccb58927b97
plotting/FIGURE_CODE_DATA_INDEX.tsv	fead7d32beb2b358f7702f1ca7aa5c85ef2e6297e1eea248f9a6e413eb948f1e
plotting/R/01_Figure1_A1.R	e5a05e3d3f1c6cf817f3dfbb6e21ba34b628aeb374f644168d54e625b3f47d9d
plotting/R/02_Figure2_3_A2_A8.R	90ca1cfc062629f958a9bfd4a39b541f1458a89d41c965a51a528190e9027bd3
plotting/R/03_Figure4.R	00e0c230309cb794bac00afda847065c31ef383ad58607eabecdbdfefade000d
plotting/R/04_S10_S11_S12_S14.R	c6e0889dc94f4c3fb442bf8d8e4c42e66e75084c590f633f22d227b9f25ecdc4
plotting/R/05_S13.R	a7dd48358c2ac3e16a580471eab856d39629f8288f7f44774641bb2b4b368afc
plotting/R/06_A9.R	bade9f333dacdbe3ea7d73851bd2bf401d7fb89a2a1ef3709cff0e22885d5662
plotting/R/07_S15.R	687353e0e6a7030cb4ec2113c25fe6db5ae0d2b49edd2cccf323670cede25bab
plotting/R/11_title_hierarchy.R	78aa7c9cd578727bb457675e8c81be29309d51abb34f55d3fc2212ccec264acb
plotting/R/render_S3_labels.R	eb7831a24322530c31b59dea92c837bbac4ad7fb72c71817862de5993b6e13d7
plotting/R/typography.R	23ef609558b42c2a2c53a2754697c6666e1ce74fae0dbf0268451241520d956c
plotting/README.md	739eed4c59e8f4abec066fe4b1c0ecba9e0cc9bbcf2afefcd939033ccaff3ea0
plotting/data/figure_source_data/SourceData_Figure1_D5_availability.tsv	b25b2150dccd70fc07e09ddf049a81322269ea3406570e6015246682b702b763
plotting/data/figure_source_data/SourceData_Figure1_centre_classes.tsv	f18b51b5091de88f4a0ff8e198a352bc5fb53045156954a15cd79bfe56ce3b4a
plotting/data/figure_source_data/SourceData_Figure1_exclusions.tsv	91cdb000fe4f2f73c949df6f502c6425297e4d91eb9f118e10a8a11cf0579113
plotting/data/figure_source_data/SourceData_Figure1_samples.tsv	65e115f7d12104cfa2813267f2f5bc9bafaa67df5607bf6561487a7f276351af
plotting/data/figure_source_data/SourceData_Figure2_RNA.tsv	294edf8cfed025af27f7c4c1dbe2baf5164badac96618475a80114b849b00c01
plotting/data/figure_source_data/SourceData_Figure3_Protein.tsv	463e4524c7ec830bf3908b8523eaee7050817d5c16bbc17d6a4770e3decf1c4b
plotting/data/figure_source_data/SourceData_Figure4A_same_time.tsv	c510befee8985e03efcda7fb477740d95ad8a2b86f7d2b9108e5ded0e6a1ae83
plotting/data/figure_source_data/SourceData_Figure4B_forward_D1_D3.tsv	4491289233e33d5e803d9702b5f458d2aafad6b8ddb1bb05a926dd5cc08eff6d
plotting/data/figure_source_data/SourceData_Figure4C_forward_D3_D5.tsv	3fd653507cdbf186795a368ebde92f4ba03ac5d9ecf8b049cd6c34934f02bb9e
plotting/data/figure_source_data/SourceData_Figure4D_reverse.tsv	2515939baf04ea2822d658ba6159b6e6ac21015a8417518b9e0d0b96b0afc3b5
plotting/data/figure_source_data/SourceData_Figure4E_OXPHOS_attenuation.tsv	f9b630cf39f11e2bbfb2d19f3796c26485df551f870d25c2351310995c156dfc
plotting/data/figure_source_data/SourceData_Figure4F_IFN_effects.tsv	fa2c4223d3dae1695923a2348e18aae67b87d6b35c4ccf09c2f0db1b9e70cdbc
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A1.tsv	4d0bff49ec85f686f3767804584ae22b8fe7b706f1fca2658b575cf401c3809b
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A2.tsv	271b9130f22840896d4863526eafa3f9643f9dcc41e94ef6104450c5544cf3b8
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A3.tsv	ac9ac20ab4d524b22ad23c5d505e17d2ce24434b24e9a39e351a36845c8b1767
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A4.tsv	cc0ea09a7c4447b8bcef8c9e2d159005c02c695bc76ec23dd313d51e639bdd01
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A5.tsv	f63b4470131c293125d958e0db2a284a38b41045f21c72847af1e8ec1625053b
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A6.tsv	9fc8896eff6f1f113376f2cb54b75380d48b7dc0e61422d7db68e4dd59c0d126
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A7.tsv	2e44724053463011cee97f1af184da06da96885bb7d76f84df9503563d7a1d24
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A8.tsv	85c4d0d3a013c54963582c9de1b7b20312cc3b1733e4be94f970f57172d56f1c
plotting/data/figure_source_data/SourceData_Supplementary_Figure_A9.tsv	38b8e2b552ef8e476b11879592ed4d06e56f03cc54eaa7b7b53ff89c1f0a5187
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S10_D5_EMT_leading_edge.csv	f55edf79ec7fc03436a629a583bd53cff1db1f1e3701654a8e1078c2d9a6afe6
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S11_all_significant_Hallmark.csv	c434fa9615097e5a9b5cef7fe36526399d2d2a03f3e65bac10d65294f49c36d6
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S12_IFN_adjusted.csv	4083d21473d362011056e970fc00d1538277c941cd4bc44eabc4f3925ff5cfe2
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S12_MYC_discordance.csv	1259e9caa7e6dee0101b35b25c5410e3e06a36bfc9d835524aca4b3baa5cc2b9
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S13_IFN_centre_sensitivity.tsv	97a06aee282f5a81c3c09dab17140d7d5d044236960453a377c4101ef714d0af
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S14_D5_EMT_finite_permutation.tsv	1f513ffc469718b8ee6e3b1d17c6987d33def7054648c8e1271eef0501f0d8e0
plotting/data/figure_source_data/SourceData_Supplementary_Figure_S14_D5_EMT_finite_permutation_summary.tsv	27a7c6cff57869dc7f6604b33366e9cb11bda43ed165c01302db95e0fabe4826
plotting/data/source_data/figure_heatmap_source.tsv	85b93fb5458787507b1573f6d3ff46e56865df0daa0dafaa8aca34f8179f04f4
plotting/data/submission/numeric_truth_table.tsv	85509997f832b8b978b31a45f571b7c271088f0edfd9c86a3785b93a498d0fe2
plotting/environment/package_versions.tsv	808731e17b071463b604ed63deb1c0f1c91fbebf496c99fa051dc91f324c5126
plotting/environment/sessionInfo.txt	1f9aa9d4a56872f1288228d6eb33259ef5b738cf9c2a8877040945482d87f693
plotting/figures/Figure1_study_design_risksets_availability.pdf	4c5f73909fd3500d701e277a512b4b00b8c2540f744a0fcc445842f3d68dd36a
plotting/figures/Figure1_study_design_risksets_availability.png	f9e3232ec447b8f3fe537b7a90a7a2812330ac5756e5c55baafcc18e6501cd4b
plotting/figures/Figure1_study_design_risksets_availability.svg	2e2f41b721795fcb929e8349730798b7abf5601fb6636c425035fcbf586c908a
plotting/figures/Figure1_study_design_risksets_availability.tiff	c6cc3ae9fe14a18cca448f58b798b60e2d6d47cd855b20ab74adcc4538ea6f81
plotting/figures/Figure2_RNA_core_NES.pdf	0a221bcc4f91bfb1b8d127c58911c412074bf51720d9c8dee5dc51411e405b36
plotting/figures/Figure2_RNA_core_NES.png	7e9ca442c82e929761896b5a7e09ed49b914e338185b778012716511832cdcbe
plotting/figures/Figure2_RNA_core_NES.svg	5a79a84b86d9e282f546f0d4c08a19ee16908cbf76d944cddd66af86b6d5d453
plotting/figures/Figure2_RNA_core_NES.tiff	c789d06929c8f4455ab2031ea0b6009817f75df7aa23c3fdfd80f83d740742d8
plotting/figures/Figure3_Protein_core_NES.pdf	2b21e32ba8e61c6a7f8f413ac7fd6ce50e057ee622497a2f6a4336360c775c46
plotting/figures/Figure3_Protein_core_NES.png	86181cf094bbd193c46783149685153c3719140a449aef78c6b0d11f44d1b22e
plotting/figures/Figure3_Protein_core_NES.svg	5fee756dc068bbbda89db4868279c14d0b6531b8fed32c2cd768a0a4708dfb6b
plotting/figures/Figure3_Protein_core_NES.tiff	106094240bd42f05b2fa99b290aeae4f858f359f575d5b5f8ad545a89e47e25c
plotting/figures/Figure4_CrossOmics_integrated_A_to_F.pdf	a6b3b5688a272a5e1b26fd01c308632bb21961dfde31f069520fcb48b8aeb10e
plotting/figures/Figure4_CrossOmics_integrated_A_to_F.png	d5c9d6c8248b9ff55c5cb08619e80fb78f260d722d2303bb3bc5b9acad137688
plotting/figures/Figure4_CrossOmics_integrated_A_to_F.svg	7fe2dfb2eeb1933062102c16dd38a84650b1e77db626230cf33a517196387062
plotting/figures/Figure4_CrossOmics_integrated_A_to_F.tiff	6af769ac88082931bf3f9394bb1a8b927ce920108685910a98c2207ad6a8e17f
plotting/figures/S3_part_1.pdf	6acec18c9c0aa3fb3727b979ffdacbeebca6cceac28669a81bd46e4ce068fddb
plotting/figures/S3_part_1.png	e6c51146a899e747c810aa33707666f91f354bd1cfdb049bccd59119a0f08e76
plotting/figures/S3_part_1.svg	6a3799a8458a0033407946bef84c6c54f6a2890479403f29c1bcb49d43d999dc
plotting/figures/S3_part_1.tiff	f10bc6e07a397ffa7e4d03cf36fc5bec34ab0c91e1d75527e9fefba85fc7085a
plotting/figures/S3_part_2.pdf	97e97aa9de727e90e049b61452420d4f20859e8be0f10f1bfbb7903c80e65880
plotting/figures/S3_part_2.png	9e528128e886da70879a4b5e7dfce8657a83a913a0aa01822cd34c1f9597dd84
plotting/figures/S3_part_2.svg	bbab7e333197a438aff5d1befeaccac90f6b0e2e72db0b28709959519ea37cec
plotting/figures/S3_part_2.tiff	711935e770f4e6682c2d2db66ab969e06a60e5e9e2a32a692e569d0f9935ebcf
plotting/figures/S3_part_3.pdf	ef32a1af62f78ede97f573f624b190f66771232800fb46596c795e816e31194a
plotting/figures/S3_part_3.png	cf1d0e0a87c6055df68087ad4cd70d677eea228514dcb4e004b53541376d1d2a
plotting/figures/S3_part_3.svg	21d28977e87c7e70f789ddd177b26e91772b118846102598c68774f039caab6b
plotting/figures/S3_part_3.tiff	a428dc40719b2013538185f8745ca3d6b5143834aa44420fddb50e3fdb68d965
plotting/figures/Supplementary_Figure_S10_D5_EMT_leading_edge.pdf	fba5567887d3eb848b8a3f2972d21bf312e4c7aecf6d55a2bdafd6b2bc0076c0
plotting/figures/Supplementary_Figure_S10_D5_EMT_leading_edge.png	578c2dab9d10e6a381e65d7cc60e0335f3118d67f02b41505bc46bbf06c0e3e7
plotting/figures/Supplementary_Figure_S10_D5_EMT_leading_edge.svg	9e82a1af6ebf8a6a904ed09d6863bbf910baed280d2e7fe76353d1636e8d28c3
plotting/figures/Supplementary_Figure_S10_D5_EMT_leading_edge.tiff	c7cd67f8222b6e9f8fd5628c245c4a2a3534929f3af855dd0d87361f22310152
plotting/figures/Supplementary_Figure_S11_all_significant_Hallmark.pdf	2e4d523fbd6f2538596c8e498cfb2b10bb941c249bc85dc4a903668deb49e0e2
plotting/figures/Supplementary_Figure_S11_all_significant_Hallmark.png	7075444cc8916b7d6052486cad547fc79457ea7cc603cfcd8154d5838450fe68
plotting/figures/Supplementary_Figure_S11_all_significant_Hallmark.svg	99539e309da6cdf5f267401843d0ad35b82b826bfc9442bb2608510c955e2474
plotting/figures/Supplementary_Figure_S11_all_significant_Hallmark.tiff	3b128b56b96f795889de8bb101dca1e7a9770045160f7f520716c03447d08b84
plotting/figures/Supplementary_Figure_S12_cross_omic_sensitivity.pdf	63e2efd5da8786049326c3a2691ff97d6b2d81769c11f7ca9f37174d2de6993a
plotting/figures/Supplementary_Figure_S12_cross_omic_sensitivity.png	8cfff7f480d4ddcb8df3a09d08190fcd86b64f4791955f14720602af421b73af
plotting/figures/Supplementary_Figure_S12_cross_omic_sensitivity.svg	0c1aa61ed8ef3ab02f74cc6533a39d340e52c42e167374a691679f7651c4915a
plotting/figures/Supplementary_Figure_S12_cross_omic_sensitivity.tiff	06087e9be4e7b830407ff9f387ebea5eea757116b7a0c20da551047e92dcbc7b
plotting/figures/Supplementary_Figure_S13_IFN_centre_sensitivity.pdf	ad00b2b1da9cd34747678b6584e8f19a64b6c2229baca3e052cc7cd6b84aaa04
plotting/figures/Supplementary_Figure_S13_IFN_centre_sensitivity.png	ac2d3f5a1b9fb48afbbd0cf9c884af9dfdeb4e7b90ad59b7f506187409bf05e6
plotting/figures/Supplementary_Figure_S13_IFN_centre_sensitivity.svg	26c66510a865c3324db0180b6e2f23443941971acfdacfc8fc3e1cca343d018e
plotting/figures/Supplementary_Figure_S13_IFN_centre_sensitivity.tiff	cc280d3385104122b4711f429212ba82a074a68e175b107598a710f345335117
plotting/figures/Supplementary_Figure_S14_D5_EMT_finite_permutation.pdf	0c0b4f3d31c059a75b07ae42766783c893da845790955f044aa6589ab778d48b
plotting/figures/Supplementary_Figure_S14_D5_EMT_finite_permutation.png	7443bc0ac20d4bd5f9231ab16c7b7dac04b18c316c711ed5f0b92f6e91b5dc2a
plotting/figures/Supplementary_Figure_S14_D5_EMT_finite_permutation.svg	3ebe62e372a346f003ea251c219db0fb8155547037d2e8ec318c291d68af15b6
plotting/figures/Supplementary_Figure_S14_D5_EMT_finite_permutation.tiff	eee7b5d1fa52d76b2dfefcdcdbea860feaed93bc44396686fcc9a41ea5ddcfb6
plotting/figures/Supplementary_Figure_S15a_CV_dependence.pdf	24db20a9d96c0756219b884da3213216fd50f33a1f1a68531e3a0c80ca781fee
plotting/figures/Supplementary_Figure_S15a_CV_dependence.png	15905ffdceaa3d32c514157dfcd3f0c2c505a5d542699b852079e70e722997f5
plotting/figures/Supplementary_Figure_S15a_CV_dependence.svg	d291391a6eff4e844296bfc4c54a140b9c39335eba983a03e7efcaf2092be15d
plotting/figures/Supplementary_Figure_S15a_CV_dependence.tiff	468416718d620c59803b94815826e75b42ea03ee9c8941830eebd6a8e9cdac5b
plotting/figures/Supplementary_Figure_S15b_CV_dependence.pdf	69c77ab99b01d8e59fd0b3c62a50b2fd7a218fed57c66e5623e51cb4c3f5e1c9
plotting/figures/Supplementary_Figure_S15b_CV_dependence.png	4b42e152882baac2f31d2d8dfbf1aa5da5ce49be0da95d85ea658bbde926c27f
plotting/figures/Supplementary_Figure_S15b_CV_dependence.svg	488002bfb0fee985ea98f4ab0092c6e06136fa18801933a099a126975d250ca3
plotting/figures/Supplementary_Figure_S15b_CV_dependence.tiff	d08173e8e35bd1597e243def29754b5673c169a1fd1d3abfe942e7c1b6415575
plotting/figures/Supplementary_Figure_S1_centre_positivity.pdf	d21871cb66a6bddb82369f9d6176b8cffa910b933f8a6d6ec8a68f8da71ec934
plotting/figures/Supplementary_Figure_S1_centre_positivity.png	b512a841809f55987ac201288897a7e64ad233206caf3486d3cd1fb0a4c3c123
plotting/figures/Supplementary_Figure_S1_centre_positivity.svg	8f458e54fd0be7437221b71d1715881f11ebc1d8ff66c98c9333b9179d0b4f8c
plotting/figures/Supplementary_Figure_S1_centre_positivity.tiff	353a4061bbeb4b3d287770783b2c4e2fe6ab0593c490a1b86c1bd00b37f2b115
plotting/figures/Supplementary_Figure_S2_probability_weight_distributions.pdf	33b6cdecded236d10ef5f2f2e2f6421f0bbb4e10dee88647c79219cf71bc17c1
plotting/figures/Supplementary_Figure_S2_probability_weight_distributions.png	ee13afc0023b838962c2a8b35c276f3eb47b60756387c1ee75c46d1b68abecc0
plotting/figures/Supplementary_Figure_S2_probability_weight_distributions.svg	c4a3985b43ebe6445861d2daad24f3507e049963ee74046be6f97b65f41435c4
plotting/figures/Supplementary_Figure_S2_probability_weight_distributions.tiff	b3cf6b4771ef39559b2591e4e734fb31bf704997d71dec46f6bc75fd7be8cb71
plotting/figures/Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.pdf	203e910c9c5acf8ba7ba83efd9e4cfefe1a5748b5f2c193ca2f6338b40aa71fd
plotting/figures/Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.png	b518a3cab85a6b395f45d89c0530c41c37f94c78ab8f36c1573e8c1cc58ebd37
plotting/figures/Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.svg	7d2124577f43ad0d8db3fd7cb7d1a651c0d87e402332245036f26159abb72cbb
plotting/figures/Supplementary_Figure_S4_all_Hallmark_unweighted_vs_IPW.tiff	96db3a0e043f271ad9f9eda474320e35a576eda15bde000db75cd233e3486db1
plotting/figures/Supplementary_Figure_S5_core_pathway_scenario_heatmap.pdf	48825ea8e9e4eed4f762ed666c136b8205d85f8c0a4535b37084ec30e603c4e3
plotting/figures/Supplementary_Figure_S5_core_pathway_scenario_heatmap.png	2fe434cd04655511e81dfd0c01534f3fdb4b54565aa73836abd0453c7bfea4f6
plotting/figures/Supplementary_Figure_S5_core_pathway_scenario_heatmap.svg	7601902a516040809b239d0aea1ffc9631a0404c0918e269a6bb07bfbd4885c3
plotting/figures/Supplementary_Figure_S5_core_pathway_scenario_heatmap.tiff	3460d407aca15f7cc00cd26f8970074760eaffb424238823847f0a48d67b17ab
plotting/figures/Supplementary_Figure_S6_six_scenario_robustness_metrics.pdf	0b2c00a6c643838d4b29b6d6183831bb999b4efa918f7cfcd88fa695a81635e6
plotting/figures/Supplementary_Figure_S6_six_scenario_robustness_metrics.png	a8a3c577d0ade4991700f770ed438f1788e476d69b89820fee1235f259cae7ba
plotting/figures/Supplementary_Figure_S6_six_scenario_robustness_metrics.svg	2bca77395cd2f4d18eddde7104e142eda7b5833f70da948a71a0b55a1cfa6a60
plotting/figures/Supplementary_Figure_S6_six_scenario_robustness_metrics.tiff	aa1014839cb0e805348ee051ff22114b6ec804549f78ae1e3d6db09bdd6e5d7f
plotting/figures/Supplementary_Figure_S7_entry_boundary_sensitivity.pdf	fcc128ac32303b73b6befcf55051796129af53619c7fb502e409216e6989276a
plotting/figures/Supplementary_Figure_S7_entry_boundary_sensitivity.png	5e061331c07f34987b068b24d303dd3e4a920d070c741f3b99257ca648000cf5
plotting/figures/Supplementary_Figure_S7_entry_boundary_sensitivity.svg	675a4a9a2304f6ffea162b13392858c64fb4e7304b95e4703503812b19a9fd7f
plotting/figures/Supplementary_Figure_S7_entry_boundary_sensitivity.tiff	2e1e62f3b31b3e5b4de11a0d855001c9ae35547f270ab0b4ac0920ed3d815537
plotting/figures/Supplementary_Figure_S8_D5_protein_availability.pdf	e4b225075468f7aac9c75b4f5e2d13c1e509a5202452dcdf95fdc721c5c867fe
plotting/figures/Supplementary_Figure_S8_D5_protein_availability.png	5ef27f705aef0c878f7f951b93c197a154e8aca42b6d13eed217fed16111d500
plotting/figures/Supplementary_Figure_S8_D5_protein_availability.svg	57f31bf8a8cca24aab9eb8c5c82b1be7b8acb30c566b207af2f532f88e28d36b
plotting/figures/Supplementary_Figure_S8_D5_protein_availability.tiff	7eed51812e2b0083613f3795dd577e5d5631f34aad7e9cbf7ed4be0f389f34f1
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_a.pdf	2cc83319c66d2f783e673784eacd0a17e49827d68dbc9cd20ffa9ca984b97a41
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_a.png	aee7ab5a57ae793b5a39a1b42176a97bef51e4889a1affbb56b08b043e2480ff
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_a.svg	680f8796844a27d8bf138ca23790446b1e6d639765aae7ce0eeb90539b85c1c0
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_a.tiff	4426bcb16b4187a5b71ea4019f95dcd954f4414531b2436fc2cd39e76381d882
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_b.pdf	6adacb586c3b155543b709bfa2012304e3d8c247eccc901667607444becd7c82
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_b.png	502b1c4ea6da40c943a440fca6e3f07aaea4a43b3761267444410d9bb63205ed
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_b.svg	f8b5ee2042c60d523189c69c90690b3447efa45ce92b58509091fe0c04b6999f
plotting/figures/Supplementary_Figure_S9_clinical_univariable_Cox_part_b.tiff	8972aaf6ea43b45c9bbbe60356e1c0a54276c6427fcece3959b573a26bbc8e78
plotting/qa/FIGURE_SIZE_MAP.tsv	935834d785c49254d8146ce2f4c1e70136e5e341c034c236772bb850569c791a
plotting/run_all_figures.R	5e4198a073bab37ec5f5e81731613e00abcddacbe9a9d7ba67376f46cced93a5
