pathway	analysis	gene_symbol
APOPTOSIS	entry4_SOFA_D3__all_valid	HMGB2
APOPTOSIS	entry4_SOFA_D3__all_valid	PPP2R5B
APOPTOSIS	entry4_SOFA_D3__all_valid	TSPO
APOPTOSIS	entry4_SOFA_D3__all_valid	GADD45B
APOPTOSIS	entry4_SOFA_D3__all_valid	CDKN1B
APOPTOSIS	entry4_SOFA_D3__all_valid	CTNNB1
APOPTOSIS	entry4_SOFA_D3__all_valid	IER3
APOPTOSIS	entry4_SOFA_D3__all_valid	CLU
APOPTOSIS	entry4_SOFA_D3__all_valid	EMP1
APOPTOSIS	entry4_SOFA_D3__all_valid	CASP2
APOPTOSIS	entry4_SOFA_D3__all_valid	NEDD9
APOPTOSIS	entry4_SOFA_D3__all_valid	CASP4
APOPTOSIS	entry4_SOFA_D3__all_valid	XIAP
APOPTOSIS	entry4_SOFA_D3__all_valid	DNAJC3
APOPTOSIS	entry4_SOFA_D3__all_valid	DPYD
APOPTOSIS	entry4_SOFA_D3__all_valid	BCAP31
APOPTOSIS	entry4_SOFA_D3__all_valid	TAP1
APOPTOSIS	entry4_SOFA_D3__all_valid	IRF1
APOPTOSIS	entry4_SOFA_D3__all_valid	PPP3R1
APOPTOSIS	entry4_SOFA_D3__all_valid	GNA15
APOPTOSIS	entry4_SOFA_D3__all_valid	CASP9
APOPTOSIS	entry4_SOFA_D3__all_valid	GPX3
APOPTOSIS	entry4_SOFA_D3__all_valid	ANXA1
APOPTOSIS	entry4_SOFA_D3__all_valid	TNFSF10
APOPTOSIS	entry4_SOFA_D3__all_valid	TXNIP
APOPTOSIS	entry4_SOFA_D3__all_valid	APP
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	ABCD2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	CYP27A1
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	SLC23A2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	PEX12
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	PAOX
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	LCK
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	NR3C2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	EFHC1
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	SLC35B2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	EPHX2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	PHYH
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	IDH2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	SCP2
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	PEX7
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	HSD17B4
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	ACSL5
BILE_ACID_METABOLISM	entry4_SOFA_D3__all_valid	HACL1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	NFIL3
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	PLSCR1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	NIBAN1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	IDI1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	PDK3
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	ALCAM
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	ABCA2
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	LDLR
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	CHKA
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	ANTXR2
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	PPARG
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	DHCR7
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	PNRC1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	ACSS2
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	JAG1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	CTNNB1
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	S100A11
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	CLU
CHOLESTEROL_HOMEOSTASIS	entry4_SOFA_D3__all_valid	FBXO6
COAGULATION	entry4_SOFA_D3__all_valid	ADAM9
COAGULATION	entry4_SOFA_D3__all_valid	MMP9
COAGULATION	entry4_SOFA_D3__all_valid	FURIN
COAGULATION	entry4_SOFA_D3__all_valid	SERPINA1
COAGULATION	entry4_SOFA_D3__all_valid	KLF7
COAGULATION	entry4_SOFA_D3__all_valid	GSN
COAGULATION	entry4_SOFA_D3__all_valid	RAC1
COAGULATION	entry4_SOFA_D3__all_valid	WDR1
COAGULATION	entry4_SOFA_D3__all_valid	RABIF
COAGULATION	entry4_SOFA_D3__all_valid	SERPINE1
COAGULATION	entry4_SOFA_D3__all_valid	F12
COAGULATION	entry4_SOFA_D3__all_valid	MMP8
COAGULATION	entry4_SOFA_D3__all_valid	F2RL2
COAGULATION	entry4_SOFA_D3__all_valid	CTSK
COAGULATION	entry4_SOFA_D3__all_valid	CLU
COAGULATION	entry4_SOFA_D3__all_valid	GNB2
COAGULATION	entry4_SOFA_D3__all_valid	LAMP2
COAGULATION	entry4_SOFA_D3__all_valid	THBS1
COAGULATION	entry4_SOFA_D3__all_valid	C1R
COAGULATION	entry4_SOFA_D3__all_valid	HPN
COAGULATION	entry4_SOFA_D3__all_valid	F8
COAGULATION	entry4_SOFA_D3__all_valid	CASP9
COAGULATION	entry4_SOFA_D3__all_valid	ANXA1
COAGULATION	entry4_SOFA_D3__all_valid	PLEK
COAGULATION	entry4_SOFA_D3__all_valid	PLAU
COAGULATION	entry4_SOFA_D3__all_valid	GP1BA
COAGULATION	entry4_SOFA_D3__all_valid	ITGB3
COAGULATION	entry4_SOFA_D3__all_valid	MSRB2
COAGULATION	entry4_SOFA_D3__all_valid	TIMP1
COAGULATION	entry4_SOFA_D3__all_valid	PEF1
COAGULATION	entry4_SOFA_D3__all_valid	P2RY1
COAGULATION	entry4_SOFA_D3__all_valid	CTSB
COAGULATION	entry4_SOFA_D3__all_valid	SPARC
COAGULATION	entry4_SOFA_D3__all_valid	CFB
COAGULATION	entry4_SOFA_D3__all_valid	CPQ
COAGULATION	entry4_SOFA_D3__all_valid	PF4
COAGULATION	entry4_SOFA_D3__all_valid	VWF
COAGULATION	entry4_SOFA_D3__all_valid	FN1
COAGULATION	entry4_SOFA_D3__all_valid	SERPINB2
COAGULATION	entry4_SOFA_D3__all_valid	ISCU
COAGULATION	entry4_SOFA_D3__all_valid	ARF4
COMPLEMENT	entry4_SOFA_D3__all_valid	ITGAM
COMPLEMENT	entry4_SOFA_D3__all_valid	CR1
COMPLEMENT	entry4_SOFA_D3__all_valid	ADAM9
COMPLEMENT	entry4_SOFA_D3__all_valid	PRKCD
COMPLEMENT	entry4_SOFA_D3__all_valid	HSPA1A
COMPLEMENT	entry4_SOFA_D3__all_valid	TIMP2
COMPLEMENT	entry4_SOFA_D3__all_valid	PLSCR1
COMPLEMENT	entry4_SOFA_D3__all_valid	PIK3CG
COMPLEMENT	entry4_SOFA_D3__all_valid	GCA
COMPLEMENT	entry4_SOFA_D3__all_valid	LYN
COMPLEMENT	entry4_SOFA_D3__all_valid	S100A12
COMPLEMENT	entry4_SOFA_D3__all_valid	PCSK9
COMPLEMENT	entry4_SOFA_D3__all_valid	SERPINA1
COMPLEMENT	entry4_SOFA_D3__all_valid	LCP2
COMPLEMENT	entry4_SOFA_D3__all_valid	RHOG
COMPLEMENT	entry4_SOFA_D3__all_valid	CD59
COMPLEMENT	entry4_SOFA_D3__all_valid	DGKH
COMPLEMENT	entry4_SOFA_D3__all_valid	PIM1
COMPLEMENT	entry4_SOFA_D3__all_valid	CD55
COMPLEMENT	entry4_SOFA_D3__all_valid	MSRB1
COMPLEMENT	entry4_SOFA_D3__all_valid	IRF2
COMPLEMENT	entry4_SOFA_D3__all_valid	PSEN1
COMPLEMENT	entry4_SOFA_D3__all_valid	EHD1
COMPLEMENT	entry4_SOFA_D3__all_valid	RABIF
COMPLEMENT	entry4_SOFA_D3__all_valid	S100A9
COMPLEMENT	entry4_SOFA_D3__all_valid	CDK5R1
COMPLEMENT	entry4_SOFA_D3__all_valid	F5
COMPLEMENT	entry4_SOFA_D3__all_valid	CDA
COMPLEMENT	entry4_SOFA_D3__all_valid	COL4A2
COMPLEMENT	entry4_SOFA_D3__all_valid	JAK2
COMPLEMENT	entry4_SOFA_D3__all_valid	GRB2
COMPLEMENT	entry4_SOFA_D3__all_valid	RAF1
COMPLEMENT	entry4_SOFA_D3__all_valid	SERPINE1
COMPLEMENT	entry4_SOFA_D3__all_valid	CEBPB
COMPLEMENT	entry4_SOFA_D3__all_valid	AKAP10
COMPLEMENT	entry4_SOFA_D3__all_valid	TNFAIP3
COMPLEMENT	entry4_SOFA_D3__all_valid	PIK3R5
COMPLEMENT	entry4_SOFA_D3__all_valid	MMP8
COMPLEMENT	entry4_SOFA_D3__all_valid	VCPIP1
COMPLEMENT	entry4_SOFA_D3__all_valid	CLU
COMPLEMENT	entry4_SOFA_D3__all_valid	PIK3CA
COMPLEMENT	entry4_SOFA_D3__all_valid	GNB2
COMPLEMENT	entry4_SOFA_D3__all_valid	GNAI3
COMPLEMENT	entry4_SOFA_D3__all_valid	LAMP2
COMPLEMENT	entry4_SOFA_D3__all_valid	PRSS36
COMPLEMENT	entry4_SOFA_D3__all_valid	CASP4
COMPLEMENT	entry4_SOFA_D3__all_valid	USP15
COMPLEMENT	entry4_SOFA_D3__all_valid	C1R
COMPLEMENT	entry4_SOFA_D3__all_valid	BRPF3
COMPLEMENT	entry4_SOFA_D3__all_valid	CTSD
COMPLEMENT	entry4_SOFA_D3__all_valid	CA2
DNA_REPAIR	entry4_SOFA_D3__all_valid	GTF2H3
DNA_REPAIR	entry4_SOFA_D3__all_valid	RNMT
DNA_REPAIR	entry4_SOFA_D3__all_valid	GTF2H1
DNA_REPAIR	entry4_SOFA_D3__all_valid	ERCC8
DNA_REPAIR	entry4_SOFA_D3__all_valid	NELFCD
DNA_REPAIR	entry4_SOFA_D3__all_valid	NUDT21
DNA_REPAIR	entry4_SOFA_D3__all_valid	ADA
DNA_REPAIR	entry4_SOFA_D3__all_valid	MRPL40
DNA_REPAIR	entry4_SOFA_D3__all_valid	SRSF6
DNA_REPAIR	entry4_SOFA_D3__all_valid	SF3A3
DNA_REPAIR	entry4_SOFA_D3__all_valid	NCBP2
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLR1H
DNA_REPAIR	entry4_SOFA_D3__all_valid	ERCC4
DNA_REPAIR	entry4_SOFA_D3__all_valid	APRT
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLR2D
DNA_REPAIR	entry4_SOFA_D3__all_valid	LIG1
DNA_REPAIR	entry4_SOFA_D3__all_valid	NFX1
DNA_REPAIR	entry4_SOFA_D3__all_valid	DUT
DNA_REPAIR	entry4_SOFA_D3__all_valid	IMPDH2
DNA_REPAIR	entry4_SOFA_D3__all_valid	ERCC3
DNA_REPAIR	entry4_SOFA_D3__all_valid	ITPA
DNA_REPAIR	entry4_SOFA_D3__all_valid	EDF1
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLR1C
DNA_REPAIR	entry4_SOFA_D3__all_valid	UMPS
DNA_REPAIR	entry4_SOFA_D3__all_valid	RPA3
DNA_REPAIR	entry4_SOFA_D3__all_valid	RFC3
DNA_REPAIR	entry4_SOFA_D3__all_valid	PCNA
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLR2K
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLR2C
DNA_REPAIR	entry4_SOFA_D3__all_valid	ERCC5
DNA_REPAIR	entry4_SOFA_D3__all_valid	NME1
DNA_REPAIR	entry4_SOFA_D3__all_valid	GTF2A2
DNA_REPAIR	entry4_SOFA_D3__all_valid	NME3
DNA_REPAIR	entry4_SOFA_D3__all_valid	TP53
DNA_REPAIR	entry4_SOFA_D3__all_valid	RFC4
DNA_REPAIR	entry4_SOFA_D3__all_valid	AK3
DNA_REPAIR	entry4_SOFA_D3__all_valid	AAAS
DNA_REPAIR	entry4_SOFA_D3__all_valid	TAF9
DNA_REPAIR	entry4_SOFA_D3__all_valid	SEC61A1
DNA_REPAIR	entry4_SOFA_D3__all_valid	SSRP1
DNA_REPAIR	entry4_SOFA_D3__all_valid	DDB2
DNA_REPAIR	entry4_SOFA_D3__all_valid	TMED2
DNA_REPAIR	entry4_SOFA_D3__all_valid	GTF2H5
DNA_REPAIR	entry4_SOFA_D3__all_valid	DDB1
DNA_REPAIR	entry4_SOFA_D3__all_valid	PDE4B
DNA_REPAIR	entry4_SOFA_D3__all_valid	RFC5
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLB
DNA_REPAIR	entry4_SOFA_D3__all_valid	REV3L
DNA_REPAIR	entry4_SOFA_D3__all_valid	POLR2H
DNA_REPAIR	entry4_SOFA_D3__all_valid	GSDME
DNA_REPAIR	entry4_SOFA_D3__all_valid	SNAPC5
